source_sitemap,source_url,status,target,locale,reason
"product-sitemap.xml","https://www.petroni.hr/en/product/prekrivac-za-kamp-prikolicu-l-do-610m/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/kontrol-panel-teb-2-za-trumatic-s-3002/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/klima-uredaj-kronings-k2400/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/mover-enduro-e-go-kit/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/kuhinja-kamperska-quick-plava/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/hladnjak-kompresorski-vitrifrigo-c51i-sivi-5136-lit/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/cistac-ljepila-sika-cleaner-205-025l/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/lonac-ispusni-za-diesel-grijac-carbest-20dh-2kw/","308","/product/lonac-ispusni-za-diesel-grijac-carbest-2-0dh-2kw?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/termoelement-stednjaka-dometic-l-350mm/","308","/product/termoelement-stednjaka-dometic-l-350mm","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/kotac-15-sa-gumom-215-75r16c/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/windscreen-i-tec-dethleffs-i-5830-i-6970-i-6501-i-5970/","308","/product/staklo-vjetrobrana-za-kamper-i-tec-dethleffs-i-modeli?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/en/product/kuka-za-vucu-za-kamper-smv/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/pumpa-za-vodu-carbest-12v-10-lit-min-2/","308","/product/pumpa-za-vodu-carbest-12v-11-3-lit-min?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/en/product/pumpa-za-vodu-carbest-12v-7-lit-min-2/","308","/product/pumpa-za-vodu-carbest-12v-7-lit-min?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/en/product/pumpa-za-vodu-shurflo-lilie-12v-14-bar-7-lit-min-2/","308","/product/pumpa-za-vodu-shurflo-lilie-12v-1-4-bar-7-lit-min?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/gumb-za-push-lock-bravice-nichel-fi-35/","308","/product/glava-za-push-lock-bravice-nichel-fi-35","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/solarni-sustav-cb100-slim-12v-100w-2/","308","/product/solarni-sustav-cb140-carbest-12v-140w?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/en/product/okretna-konzola-za-prednja-sjedala-iveco-daily-2000/","308","/product/konzola-okretna-za-prednja-sjedala-iveco-daily-2000?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/en/product/crijevo-za-plin-sa-sigurnosnim-ventilom-truma-g8/","308","/product/crijevo-za-plin-75cm-sa-sig-ventilom-truma-g8-hr?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/lonac-ispusni-za-diesel-grijac-carbest-20dh-2kw/","308","/product/lonac-ispusni-za-diesel-grijac-carbest-2-0dh-2kw","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/solarni-sustav-vechline-120w-monokristal/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/termoelement-stednjaka-dometic-l-350mm/","308","/product/termoelement-stednjaka-dometic-l-350mm?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/solar-set-monocristal-110w-antarion/","308","/product/solar-set-monocristal-110w-antarion","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/solar-set-monocristal-110w-antarion/","308","/product/solar-set-monocristal-110w-antarion?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/amortizer-vrata-plinski-60n/","308","/product/amortizer-vrata-plinski-60n","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/amortizer-vrata-plinski-60n/","308","/product/amortizer-vrata-plinski-60n?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/en/product/kartusa-za-plinsko-kuhalo-190gr/","308","/product/kartusa-za-plinsko-kuhalo-190gr?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/kartusa-za-plinsko-kuhalo-190gr/","308","/product/kartusa-za-plinsko-kuhalo-190gr","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/vaga-rucna-za-plinske-boce/","410","","","removed_product"
